text;label;relevance
environmental measures at thermal power plants environmental measures at thermal power plants environmental measures at thermal power plants ii;Geothermal Explr/Plants;1.0
environmental monitoring and development project environmental monitoring and development project the objective of this project which consists of high priority components of the environmental investment program, is to put in place the policy and institutiional arrangements necessary to have physical planning, land use control, infrastructure investments and environmental protection managed in a coordinated and rational way. the project would also enable the government to take immediate remedial measures including selective investments to reverse the trend of environmental degradation and to develop a system of environmental monitoring and analysis for setting environmental standards and assessing the viability and cost-effectiveness of future investments.  the components of the environmental investment proogram are 1) the national physical development plan, 2) environmental laboratories, 3) design and engineering studies for an industrial park, 4) design and implementation of a sanitary landfill site and rehabilitation of present dumps, 5) integrated pest management and research, 6) marine conservation, and 7) establishment of the black river gorges national park. reported as purposecode 14022.;Environmental Policy Admin;1.0
environmental policy advisory service and environmental management environmental policy advisory service and environmental management die leistungsfähigkeit von umweltbehörden zur gestaltung umweltpolitischer rahmenbedingungen und zur umsetzung von technischen anleitungen sowie das umweltmanagement von ausgewählten unternehmen sind verbessert.;Environmental Policy Admin;1.0
environmental policy and admin. mgmt environmental policy and admin. mgmt ;Environmental Policy Admin;1.0
environmental program environmental policy and admin. mgmt betroffene akteure und partner integrieren auf nationaler, regionaler und lokaler ebene stärker umweltbelange in die bereiche der wirtschaft und der sozialen entwicklung;Environmental Policy Admin;1.0
environmental programme environmental programme ;Environmental Policy Admin;1.0
environmental project strengthening civil society environmental project;Environmental Policy Admin;1.0
environmental projects â€” fta environmental projects definitional mission, u.s. trade development agency (tda).;Environmental Policy Admin;1.0
environmental protection agency (epa) - bio-chem redirect environmental protection agency ;Environmental Policy Admin;1.0
environmental protection and n environmental protection and n the project aims at developing capacity to implement federal and regional environmental policy, strategies, laws and action plan. various district and community based natural resource management and environmental rehabilitation activities planning and imp;Environmental Policy Admin;1.0
environmental rights action (era) environmental rights action to review all contracts that have been made between west african governments and oil consortia to determine their implications, and develop a list of concrete tools for strengthening environmental law and addressing local community concerns regarding the;Environmental Policy Admin;1.0
environmental sector support project environmental sector support project ;Environmental Policy Admin;1.0
environmental softloan for pol to promote pollution abatement ;Air Pollution Mitigation;1.0
environmental technology progr industrial development environmental technology programme for industry inpakistan verminderde industriele vervuiling door gebuik van milieuvriende lijke technologie;Air Pollution Mitigation;1.0
environmental training program for st. augustine college in bom jardim environmental training program for st. augustine college in bom jardim realization of an environmental training program through the installation of a photovoltaic system and the drilling of an artesian well for the collegio s. agostino in bom jardi, which hosts 443 pupils and employs 65 people.;Enviro Ed Trainings;1.0
environmental workshop 95,zim industrial policy & admin. mgmt;Environmental Policy Admin;1.0
environmental/nat res policy & training environmental/nat resources policy ;Enviro Ed Trainings;1.0
environmental/social performance indicators environmental/social performance indicators ;Environmental Policy Admin;1.0
environmt review l.araya environment review ;Environmental Policy Admin;1.0
environnement & dvlpt durable environnement & dvlpt durable renforcement des capacités nationales pour la réduction de la vulnérabilité et l'adaptation aux risque climatiques des écosystèmes et des communautés pour un développement durable .;Resilience;1.0
environnement environnement environnement;Environmental Policy Admin;1.0
eoliane park in zafarana eoliane park in zafarana parque eolico de zafarana;Wind power farms;1.0
equipping umkhuze game reserve's rangers to better protect its black and white rhino populations equipping umkhuze game reserve's rangers to better protect its black and white rhino populations to optimize security presence throughout rhino range in umkhuze game reserve in kwazulu natal, south africa, funds will support upgrading of infrastructure at ten remote camps, and operating costs for daily rhino monitoring and analysis of rhino sightings, anti-poaching patrols and rapid response to security incidents.;Wildlife conservation;1.0
equitable and green recovery  development policy financing equitable and green recovery  development policy financing ;Green Growth Strategies;1.0
equitable resilience to impacts of climate change (oxfam) equitable resilience to impacts of climate change (oxfam) the vietnam climate change ngos partnership initiative provides community-based climate change action grants to support community-based adaptation and mitigation activities in developing countries. grants are available for australian and international ngos to work with local organisations to scale up current successful community-based climate change activities or to build a climate change component into existing community development activities in the pacific and south east asia. the grants fall into two main categories: a) community-based adaptation grants, which will help build the resilience of communities to the impacts of climate change, and b) community-based mitigation grants, which will help communities reduce or avoid greenhouse gas emissions, while also addressing key development priorities. the total value of this initiative is $15.0 million over 2 years, starting 2011-12.;Resilience;1.0
erec erec financement de la construction, l'exploitation et la maintenance d'une usine photovoltaïque.-erec;Solar PV Energy;1.0
erneuerbare energieen power generation/renewable sources erneuerbare energieen;Renewable energy;1.0
erneuerbare energien/energieeffizienz power generation/renewable sources erneuerbare energien/energieeffizienz;Renewable energy;1.0
ert prep wb tf054418 wb tf054418 ert prep ert prep wb tf054418 wb tf054418 ert prep ta to the energy sector (state owned utility tanesco, ministry of energy and minerals, rural energy agency, the regulator ewura) for a sustainable development of the energy sector in tanzania, to facilitate increased access to modern energy services in rural and peri-urban tanzania.;Renewable energy;1.0
esap - rural energy fund esap - rural energy fund the energy sector programme aims at improving the living conditions of the rural population by enhancing their access and affordibility to tural energy solutions that are efficient, environment friendly and that address social justice.;Renewable energy;1.0
establish strong basis for implementation of the greater horn of africa energy sector reform establish strong basis for implementation of the greater horn of africa  funding: 1021.1 - dev asst - development assistance;Renewable energy;1.0
establishing a uk-lao partnership on practical forestry management training at the national university of laos establishing a uk-lao partnership on practical forestry management training at the national university of laos establishing a uk-lao partnership on practical forestry management training at the national university of laos;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
establishing the data driven environmental hub establishing the data driven environmental hub unep for their work on initiating the process on establishing the data driven environmental hub;Environmental Policy Admin;1.0
establishing wildlife law enforcement across multiple african countries establishing wildlife law enforcement across multiple african countries the purpose of this project is to support a conservation effort across countries in central africa by improving law enforcement and cross-border collaboration in the fight against transnational wildlife crime. this project is intended to conserve forest elephants, great apes, and other targeted species by addressing the illegal commercial trade in wildlife. specific activities of this five-year cooperative agreement include: (1) investigation of significant wildlife traffickers, defined as those that employ or control poachers and play a significant role in at least one of the following: trafficking across national borders, engaging in or enabling corruption, and/or using sophisticated criminal methods, (2) facilitation of arrests of traffickers with the appropriate local law enforcement authorities, (3) legal follow-up of wildlife crime cases, including working with prosecutors and the judicial system to apply the law effectively and to ensure sentences are served, (4) media exposure of wildlife trafficking and penalties applied to deter others from engaging in wildlife crime, and (5) expansion of the organizational model to other countries to adapt to changes in wildlife trafficking routes and activity.;Wildlife conservation;1.0
establishment  of natl. enviro environmental policy and admin. mgmt ;Environmental Policy Admin;1.0
establishment of a competence network solar technology and vocational training ghana establishment of a competence network solar technology and vocational training ghana the aim of the project is the formation of a competence network solar technology and vocational training consisting of vocational training centers, electrical companies and financial service providers.;Solar PV Energy;1.0
establishment of action plan for forest resources management of the solomon islands establishment of action plan for forest resources management of the solomon islands 1) deployment of korean experts to the solomon islands to conduct joint research, 2) invitation of the solomon islands trainees to korea, and 3) provision of equipment and materials;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
establishment of solar power station in bosaso in somali province of puntland establishment of solar power station in bosaso in somali province of puntland establishment of solar power station in bosaso in somali province of puntland;Solar PV Energy;1.0
establishment of the asean energy manager accreditation scheme (aemas) establishment of the asean energy manager accreditation scheme (aemas) the overall objectives: i) reduce energy consumption from the manufacturing industrial sector in asean, ii) reduce emissions of greenhouse gases in asean, iii) increase the professional standing of accredited energy managers.;Renewable energy;1.0
establishmnet of solar panel system establishmnet of solar panel system ;Solar PV Energy;1.0
estimating the health co-benefits from climate action estimating the health co-benefits from climate action programme: wt/post fellowship. description: there is evidence that the global value of health co-benefits that result from climate action, are greater than the financial costs of mitigation measures around climate change. however, policy decisions at national and sub-national levels seldom reflect a connection with these global assessments. the world health organisation (who) has recognised this as an area of priority, and over the course of 2020-21 are committed to work with health economists to provide economic evidence that can be integrated into national level considerations, and specific policy measures for climate change. as a health economist, i will work with the department of environment, climate change and health at who headquarters, to support the generation of reliable country-level estimates of potential health gains and savings from national climate mitigation commitments of member countries. i will use mixed methods in my research, including cost-benefit analysis for feasible interventions and policy analysis to appreciate successful policies in neighbouring countries. the outputs of my work, which will highlight the health implications of climate change for policy-makers within and outside the health sector, will include a policy report highlighting country level health benefits due to reduced emissions, as well as a paper for submission to an academic journal.;Climate Adaptation;1.0
estudo de an??lise e identifica????o das lacunas no sector da energia em mo??ambique (se4all) estudo de an??lise e identifica????o das lacunas no sector da energia em mo??ambique (se4all) no contexto da iniciativa energia sustent??vel para todos (se 4 all);Renewable energy;1.0
eswatini swazi kitchen honey processing [grantee: manzini youth care] agro-industries eswatini swazi kitchen honey project [grantee: manzini youth care];Wildlife conservation;1.0
ethz forestry backstopping ethz forestry backstopping ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
etude d'identification phase ii prs solar energy: etude d'identification ;Solar PV Energy;1.0
etude/contrã”le polluants eco. & politique environ. ;Environmental Policy Admin;1.0
etudes energie etudes energie etudes de faisabilité pour le cbj 1261 (production, distribution et formation dans le secteur de l'énergie) -etudes énergie;Renewable energy;1.0
eu energy facility eu energy facility eu energy facility - first commitment (3 mio out of 220);Renewable energy;1.0
eu for circular economy and green growth eu for circular economy and green growth annual action programme for albania for the year 2019;Green Growth Strategies;1.0
eu redd facility (redd = reducing emissions from deforestation and forest degradation) forestry policy & admin. management 2010 aap enrtp (part ii) fast-start funding;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
eu support to the energy sector eu support to the energy sector country action programme serbia ipa 2017 - objective 2 - energy;Renewable energy;1.0
eungroep commissteum.e.r./os environmental policy and admin. mgmt eungroep commissteum.e.r./os vervolgfase van ww92850 adviseren over noodzaak doorlopen mer, adviseren over richtlij- nen milieustudies, toetsen milieustudies, rol spelen bij trainen medew. ambassade en counterparts op het gebied van mil.toetsing, bijdragen aan instrument- en methodeontwikkeling,on-the-job trai tijdens advisering (institutionele aspecten);Environmental Policy Admin;1.0
eval kampala ecosan eval kampala ecosan ;Biodiv Conserv Prog;1.0
evaluatie van bosteeltkundige forestry development evaluatie van bosteeltkundige proefperken van in- heemse houtsoorten. het bijeenbrengen en analyseren van bosteeltkundige informatie over een aantal inheemse houtsoorten en het uitwerken van verdere richtlijnen voor de aanleg en beheer van duurzame plantagebossen voor productie.;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
evaluatie van het fao forestry forestry development ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
evaluating the efficacy of head-starting the critically endangered central american river turtle (dermatemys mawii) in belize, central america evaluating the efficacy of head-starting the critically endangered central american river turtle (dermatemys mawii) in belize, central america the purpose of this project is to implement conservation activities to recover wild populations from the.threat of exploitation for eggs and meat. activities include: (1) maintaining the health of the captive.breeding stock through optimal diet and pond maintenance to maximize reproductive output, (2).capturing 10 wild river turtles for comparative studies of released head-started turtles, (3) releasing 40.head-started turtles and 10 wild-caught turtles with sonic radio tags at two sites to assess recruitment.success of head-started turtles, and (4) implementing an expanded national awareness campaign and.distributing an educational toolkit for teachers to use in schools;Wildlife conservation;1.0
evaluation finale de la facilité energie 10ème fed au cameroun evaluation finale de la facilité energie 10ème fed au cameroun;Renewable energy;1.0
evaluation indépendante en énergie evaluation indépendante en énergie ;Renewable energy;1.0
evaluation of environment port environmental policy and admin. mgmt countries develop and use market mechanisms to support environmental management (cpr).;Environmental Policy Admin;1.0
evaluation of environment projects under tacis rap & identification of environment projects for enpi east 2010-2013 evaluation of environment projects under tacis rap & identification of environment projects for enpi east 2010-2013 reference : enpi/2008/171-413-evaluation of environment projects under tacis rap & identific;Environmental Policy Admin;1.0
ewaso ngiro elephant research and conservation project ewaso ngiro elephant research and conservation project multinational species conservation fund, u.s. department of interior, u.s. fish and wildlife service.;Wildlife conservation;1.0
exchange of expertise and good practices for the preservation of forests in suriname exchange of expertise and good practices for the preservation of forests in suriname financing the exchanges of expertience and good practices on forest preservation in suriname and aquisition of the  software and equipments necessary to ensure biodiversity conservation and monitoring of the forests;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
explore phase 2: forest landscape governance explore phase 2: forest landscape governance the project  strengthening science-policy interface and universities' research capacities for forest landscape governance in southeast asia: explore phase 2  is aligned with the strategy for sweden's regional development cooperation with asia and oceania 2022-2026, and the strategy for sweden's development cooperation within research for poverty elimination and sustainable development 2022-2026. the project is carried out local, national and regional levels, with special focus on universities and researchers in cambodia, indonesia, laos, myanmar, the philippines, thailand, timor lesté and vietnam.  the project contributes to the following priorities of the strategy for sweden's development cooperation within research for poverty elimination and sustainable development 2022-2026:   - strengthened research capacity and sustainable research environments. the project will strengthen research capacity at universities in eight countries through research grants, network meetings, seminars, gender-equality projects within universities, and mentorship.  strengthened global, regional and national research of relevance for least developed countries and regions. the project will lead to more regional research on the relationship between forest landscape resources and gender equality, climate change, environment, biodiversity, human rights, poverty elimination, and recovery from the covid-19 pandemic.  - strengthened impact of research that is relevant for poverty elimination and sustainable development. the project  s focus on participatory action research will increase researchers   capacity to cooperate and coordinate with decision makers, development actors, forest-users and community members. this will lead to new knowledge with long-term positive impacts for marginalized and vulnerable groups.  the project contributes to the strategy for sweden's regional development cooperation with asia and oceania 2022-2026 by contributing to sustainable development in forest landscapes of southeast asia. the project  s approach integrates human rights and gender equality, and it includes marginalized groups and groups that live in poverty. sweden  s support will result in new actors (e.g. the explore secretariat, explore network, and transboundary research groups) that can work regionally to address national and transboundary problems related to forests, forest management, and forest use. the project cooperates with already existing institutions and organizations including universities, civil society organizations, government agencies, and asean. the project uses a multistakeholder approach that encourages stakeholders to contribute to free and independent exchange of knowledge, networking, and respect for human rights and environmentally sustainable development in southeast asia.;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
explorer 2020 danish sun energy explorer 2020 danish sun energy to complete the financial and technical development of a 40 mw pv solar project in embu kenya in collaboration with the local partner belgen to a stage where our end-investor will pay for the project rights with the succeeding purpose of appointing dse as the epc manager in constructing the plant that will provide inexpensive green power for kenya for the next 25 years. in addition, dse will be a partial owner of the project, thus having long term commitment and income from the project.;Solar PV Energy;1.0
ext. review mil akkoorden ext. review mil akkoorden aid environment-externe review millennium akkoorden;Environmental Policy Admin;1.0
extended legal advising on framework environmental legislation for armenia extended legal advising on framework environmental legislation for armenia support to the modernization of the armenian environmental legislation and harmonization with eu legislation;Environmental Policy Admin;1.0
extension einar risa 1 year energy policy and administrative management extension of the provision to pm alkatiri with an advisor on petroleumagr.partner: undpimpl.inst: unknown;Renewable energy;1.0
extension support operating & maintenance hydropower energy education/training extension support 2007, operating & maintenance hydropower;Hydro Power Plants Rehab;1.0
extra tuition in a children's home, development of solar energy-infrastructure, building up of animal husbandry extra tuition in a children's home, development of solar energy-infrastructure, building up of animal husbandry extra tuition in a children's home, development of solar energy-infrastructure, building up of animal husbandry;Solar PV Energy;1.0
exécuter la conservation de l'environnement dans les écoles primaires environmental education/training building capacity for sustainable living - implementation of environmental management in primary schools - exécuter la conservation de l'environnement dans les écoles primaires -  -;Enviro Ed Trainings;1.0
f.a: developing biocultural community protocols in community forestry in nepal f.a: developing biocultural community protocols in community forestry in nepal within the project members of five community forestry communities will be trained on the national and international legal context of biocultural community protocols. the same communities will document their biocultural life-heritage, develop biocultural community protocols and organize local campaigns to demand bio-cultural rights. representatives of fecofun and local communities will participate in the meetings of the un convention on biological diversity to share the experiences related to the community protocols. individual biocultural community protocols will be published at local level. in addition, fecofun will publish an evaluation report on the state of biocultural rights of local and indigenous communities to be shared at international fora. the biocultural rights of the indigenous and local communities have been recognized in many international human rights and biodiversity instruments, but because of the reluctance of the nepalese government, they are not implemented. community forestry plans based on the national forest act emphasize technical standards rather than rights, so it is necessary to produce separate biocultural protocols. at community level knowledge of international instruments such as the un biodiversity agreement is weak, so it is necessary to increase it. communities also need stronger campaigning capacity for biocultural rights to be included in forest management plans and forestry legislation. as a result of the project, the awareness of biocultural rights of local communities is expected to grow, the communities' biocultural life heritage will be documented and biocultural protocols will be drafted, government and other actors will recognize the community's cultural rights and the campaigning capacity of the community will be strengthened to defend the rights. fecofun and local community representatives will be able to effectively participate in national and international forums and share the publication with wider audiences. the beneficiaries of the project are the members of the selected five community forestry groups in the following districts: bardiya (tharu people, khata corridor), sunsari (peasants, ramdhuni cultural forest), kathmandu (tamang people, shandong national park buffer zone), rasuwa / nuwakot (tamang people, lantang national park buffer zone), dhading / gorkha (various populations, community forest adjacent to the budigandaki hydropower project). 'biocultural rights' is a concept related to the international environmental and human rights law, in which the interrelatedness of indigenous peoples' cultures and natural habitat is recognised, as well as their rights to both culture and natural resources. the interrelatedness of culture and natural habitat as the basis of the related rights is documented through biocultural community protocols.;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
f.a: forest right implementation program 2013-16 f.a: forest right implementation program 2013-16 forest right implementation program 2013-16;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
f.a: strengthening sustainability practices in the management of community forests in liberia – phase 2 f.a: strengthening sustainability practices in the management of community forests in liberia – phase 2 in liberia, due to the 2009 community rights law, 49 community-managed community forest areas covering more than 1 million hectares have been established. of these, 6 are mainly focused on forest conservation, 39 have commercial contracts and 4 have no defined focus. if the conservation-oriented community forests do not see the benefits of their activities, these forests are also at risk of being lost to commercial logging. in addition, community forests are in danger because of weak management capacity leading into lack of transparency and accountability.the project will promote the conservation and sustainable use of community forests by strengthening the capacity of the management bodies of the two community forests to adapt their forest management plans to the requirements of the forest authority and to implement them as required by law, as well as by building sustainable livelihood options together with the communities. through the project, communities within the community forest areas are expected to (i) achieve sustainable management practices in mapping, monitoring and evaluation of their forest resources both within and around their community forest area, (ii) improve the management of forest resources in community forest areas, including through the establishment and capacity building of management committees, (iii) through technical and financial support, communities are expected to adopt sustainable livelihood options that improve income generation opportunities.the project will benefit 275 members of the management bodies of the gba and salayea community forest areas, forest scouts and people involved in income generation activities. the indirect beneficiaries are all the inhabitants of the community forest areas concerned: 65 164 people (37 248 of whom are women). the project is implemented by the social entrepreneurs for sustainable development (https://sesdevliberia.org/ ) in partnership with the green landscapes initiatives.;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
facilitating and implementing the energy community in south east europe public sector financial management facilitating and implementing the energy community in south east europe;Renewable energy;1.0
facilitating recovery of a low-density tiger population by mitigating threats and consolidating habitat in the kali tiger reserve - sharavati valley landscape, karnataka, india facilitating recovery of a low-density tiger population by mitigating threats and consolidating habitat in the kali tiger reserve - sharavati valley l facilitating recovery of a low-density tiger population by mitigating threats and consolidating habitat in the kali tiger reserve - sharavati valley landscape, karnataka, india;Wildlife conservation;1.0
faltibiologerna - lvyco environmental education/training faltibiologerna - lvyco;Enviro Ed Trainings;1.0
faps masang ii hydro-electric power plants faps pour études masang ii (pln)-faps masang ii;Hydro Power Plants Rehab;1.0
faps réhabilitation de centrales hydroélectriques faps réhabilitation de centrales hydroélectriques faps accompagnant le projet de réhabilitation de 5 centrales hydroélectriques : réalisation d'études sur les risques  sismiques et de plans d'urgence pour trois barrages hydroélectriques -faps rehab centrales;Hydro Power Plants Rehab;1.0
farmers' clubs for forests - promoting sustainable natural resource management in and around quirimbas park forestry policy & admin. management farmers clubs for forests - promoting sustainable natural resource management in and around quirimbas park;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
fasep 1053-infrastructure solaire vehicules electr fasep 1053-infrastructure solaire vehicules electr fasep 1053-infrastructure solaire vehicules electr;Solar PV Energy;1.0
fasep 1097 - dessalement solaire autonome fasep 1097 - dessalement solaire autonome fasep 1097 - dessalement solaire autonome;Solar PV Energy;1.0
fasep 1147-centrale solaire parc indu diamniadio fasep 1147-centrale solaire parc indu diamniadio fonds d'étude et d'aide au secteur privé fasep 1147-centrale solaire parc indu diamniadio  etude de faisabilité;Solar PV Energy;1.0
fasep 1286-demonstateur eclairage public solaire fasep 1286-demonstateur eclairage public solaire fasep 1286-demonstateur eclairage public solaire;Solar PV Energy;1.0
fasep 911 schema directeur hydroelectricite fasep 911 schema directeur hydroelectricite fasep 911 schema directeur hydroelectricite;Hydro Power Plants Rehab;1.0
fb-pp crv2 fb-pp crv2 phase 2 du financement budgétaire de politique publique -  croissante verte et résiliente à l'etat colombien qui vise à accompagner des réformes prioritaires dans les trois domaines de l'action climatique, de la valorisation soutenable du capital naturel et de la transition énergétique. le programme est construit autour (i) d'un prêt budgétaire non affecté, (ii) d'un dialogue de politique publique pluriannuel (2021-2022) et (iii) un programme de coopération technique.;Green Growth Strategies;1.0
feasibility study - geothermal for district heating and cooling, through government of west bank/gaza feasibility study - geothermal for district heating and cooling, through government of west bank/gaza this $438,168 grant partially funds a feasibility study for a geothermal heating and cooling system for a planned 500-unit affordable housing complex in the west bank. implementation of this facility would help achieve the goal of increasing the use of clean and renewable sources of energy and reducing dependence on imported fossil fuels.;Geothermal Explr/Plants;1.0
feasibility study - tendaho geothermal site feasibility study - tendaho geothermal site feasibility study - tendaho geothermal site, through energy markets group;Geothermal Explr/Plants;1.0
fed/2010/241-562-institutional strengthning of wsg - coastal structures speciali fed/2010/241-562-institutional strengthning of wsg - coastal structures speciali institutional strengthning of wsg - coastal structures specialist;Marine-Coastal Protected Areas Mgmt. (CMB);1.0
fed/2012/289-007-development of a cost-effective, modular and dry concentrating fed/2012/289-007-development of a cost-effective, modular and dry concentrating development of a cost-effective, modular and dry concentrating solar power for africa: design and test of components;Solar PV Energy;1.0
fed/2012/300-076-port energy efficiency and renewable energy strategic planning fed/2012/300-076-port energy efficiency and renewable energy strategic planning port energy efficiency and renewable energy strategic planning;Renewable energy;1.0
fexte énergie solaire en inde fexte énergie solaire en inde recrutement d'un consultant « ensemblier » mobilisant des compétences spécifiques auprès d'experts mais aussi d'entités publiques françaises pour promouvoir l'énergie solaire en inde => fexte energie solaire en inde;Solar PV Energy;1.0
fexte énergie solaire en inde fexte énergie solaire en inde recrutement d'un consultant « ensemblier » mobilisant des compétences spécifiques auprès d'experts mais aussi d'entités publiques françaises pour promouvoir l'énergie solaire en inde-fexte energie solaire en inde;Solar PV Energy;1.0
ffem renfct capacité et acces données sa ffem renfct capacité et acces données sa renforct capacité et accès aux données satellitaires - suivi forêts  afrique centrale et  ouest;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
ffsp farm forestry support project nwfp ffsp farm forestry support project nwfp ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
fighting desertification in afram plains and in ga district (ashanti and greater regions) fighting desertification in afram plains and in ga district (ashanti and greater regions) the project aims to combat desertification in the afram plains and ga district through actions aimed to intensifying eco-sustainable crop;Combat Desertif Convention;1.0
file - land use and biodiversity file - land use and biodiversity file - land use and biodiversity and opportunity fund;Biodiv Conserv Prog;1.0
fina enerji wind power plants b fina enerji wind power plants b construction of three wind power plants in turkey (uluborlu, kizilcaterzi and karova) for a total capacity of 106mw;Wind power farms;1.0
financement centrale geothermique financement centrale geothermique refinancing of the current project (72 mw) and new capex of 10 mw corresponding to a binary unit.-financement centrale geothermique;Geothermal Explr/Plants;1.0
financement d'un challenge de recherche en intelligence artificielle dans le champ de la biodiversité. financement d'un challenge de recherche en intelligence artificielle dans le champ de la biodiversité. le projet consiste en un challenge ayant pour vocation de faire avancer la recherche en intelligence artificielle (ia) dans le champ de la biodiversité. il mobilisera les communautés de la recherche internationale de l'ia et celles de la biodiversité. les trois partenaires fondateurs de ce challenge sont : l'afd, facebook et l'anr. l'objectif du challenge, dont la vocation est de produire une base de données de référence ouverte.-challenge recherche ia;Biodiv Conserv Prog;1.0
financement des réformes énergies renouvelables et efficacité energétiqu financement des réformes énergies renouvelables et efficacité energétiqu financement des réformes énergies renouvelables et efficacité energétiqu;Renewable energy;1.0
financement du conseil solaire afric financem. conseil solaire africain ;Solar PV Energy;1.0
financement production hydroelectrique financement production hydroelectrique ce projet vise à augmenter la capacité et la fiabilité de la production hydroélectrique et du réseau de transport d'électricité. il comprend quatre composantes : i) augmentation de capacité de la petite centrale hydroélectrique (pch) ijuizinho ii de 1 mw à 15 mw , ii) réhabilitation des centrales hydroélectriques (ch) itauba (500 mw) et passo real (158 mw), iii) modernisation et extension du réseau de transport (lignes et postes) , iv) ingénierie, supervision et audit du projet.;Hydro Power Plants Rehab;1.0
financial audit of    integrated wind energy production system for al ahli hospital     dci env/2008/ 151 707 financial audit of    integrated wind energy production system for al ahli hospital     dci env/2008/ 151 707 financial audit of    integrated wind energy production system for al-ahli hospital   - dci-env/2008/ 151-707;Wind power farms;1.0
financial audit of project no. 255559   identification and implementation of adaptation response to climate change impact for conservation financial audit of project no. 255559   identification and implementation of adaptation response to climate change impact for conservation financial audit of project no. 255559   identification and implementation of adaptation response to climate change impact for conservation and sustainable use of agro-diversity in arid and semi-arid ecosystems of south caucasus;Climate Adaptation;1.0
financiering environmental spe environmental specialist ;Environmental Policy Admin;1.0
financing for biodiversity: dynamic learning fund (first replenishment) financing for biodiversity: dynamic learning fund (first replenishment) the small grants programme was set up in support of the dynamic learning model and to engage a wider set of actors in the finance for biodiversity initiative. it allows for rapid testing of new ideas and collaborations models that subsequently can be build up or discontinued.;Biodiv Conserv Prog;1.0
financt invest maitrise energie financt invest maitrise energie maurice - ligne de crédit environnementale et d'efficacité énergétique , montant climat de l engagement = 40000 eur;Renewable energy;1.0
financt invst maitrise energie financt invst maitrise energie maurice - ligne de crédit environnementale et d'efficacité énergétique;Renewable energy;1.0
finct invest efficacité energetique finct invest efficacité energetique renouvellement de la ligne de crédit environnementale;Renewable energy;1.0
fleg: facilitating china's ability to encourage legality in the global community chain of forest products fleg: facilitating china's ability to encourage legality in the global community chain of forest products fleg: facilitating china's ability to encourage legality in the global community chain of forest products;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
flegt asia.2014-2018, european forest institute - flegt gender support flegt asia.2014-2018, european forest institute - flegt gender support the european forest institute (efi) has requested support to implement the eu flegt action plan in asia (flegt asia ii) through eu flegt facility. the eu flegt action plan, which is active in latin america, africa and asia. flegt stands for forest law enforcement governance and trade. flegt combat illegal forestry and supports improved forest management.the swedish contribution supports the total eu flegt facility asia but will focus on two areas,1. strengthening regional cooperation on flegt in asia.2. defining policies and support mechanisms, including pilots,  for smes to comply with changing market requirements. the total budget for flegt asia (2013-2019) is 11.9 million euro. earmarked funding for flegt asia comes from, european commission (ec) 4.8 million euro, the netherlands 1 million euro and sweden 4 million euro. deficit financing is presently 2.1 million euro. efi says that the netherlands is planning to extend and enhance its support and finland have expressed interest. in addition, flegt asia has great opportunity to get the support of non-earmarked money from the eu flegt facility if the steering committée so decides, which already takes place.;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
flight tickets to the climate conference nov. 2009 flight tickets to the climate conference nov. 2009 flugkosten bürgermeister von dar es salaam zur klimakonferenz nov. 2009;Climate Adaptation;1.0
flood resilience in ulaanbaatar ger areas – climate change adaptation through community-driven small-scale protective and basic-services interventions flood resilience in ulaanbaatar ger areas – climate change adaptation through community-driven small-scale protective and basic-services interventions mongolia is set to be significantly impacted by the effects of climate change. although milder climatic forecasts might bring some benefits to a country such as less harsh weather conditions, these are most likely to be outweighed by significant drawbacks for the country. as mean temperatures are to rise, secondary effects such as increases in extreme weather events become more likely.the main objective of the proposed project is to enhance the climate change resilience of the seven most vulnerable ger khoroo settlements focusing on flooding in ulaanbaatar city.;Resilience;1.0
foerderung umweltorientierter unternehmensfuehrung und sauberer produktionsverfahren, mercosur environmental policy and admin. mgmt ;Environmental Policy Admin;1.0
fondo v centenario. clima iberoamericano: analisis provisional condiciones climaticas en la zona analyse prov. condit. climatique ;Climate Adaptation;1.0
fondosilva forestry policy & admin. management ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
fonds d'expertise et de renforcement power generation/renewable sources at auprès du ministère des mines et de l'energie (dme) en matière d'ee/enr;Renewable energy;1.0
fonds eaf fonds eaf fonds d'acces a l'energie-assistance technique associee a eaf;Renewable energy;1.0
