Topic,Count,Name,CustomName,Representation,Zephyr,Representative_Docs
63,3687,63_child_protection_children_rights,Child Prot. (CP) - Child Rights (CR),"['child', 'protection', 'children', 'rights', 'enfants', 'droits', 'enfant', 'childrens', 'unicef', 'exploitation']","['\nChild Prot. (CP) - Child Rights (CR)', '', '', '', '', '', '', '', '', '']","['child protection d&a child protection d&a child protection d&a', 'child protection child protection child protection', '6.1 child protection 6.1 child protection 6.1 child protection']"
64,3461,64_tunisie_tunisia_algérie_maroc,"Tunisie EnviroFest, SCAC aid","['tunisie', 'tunisia', 'algérie', 'maroc', 'scac', 'morocco', 'tunisian', 'appui', 'algerie', 'p185']","['\nTunisie EnviroFest, SCAC aid\n', '', '', '', '', '', '', '', '', '']","[""scac - p185 - tunisie - service de coopération et d'action culturelle scac - p185 - tunisie - service de coopération et d'action culturelle scac - p185 - coopération en recherche et développement - invitations - tunisie -"", ""scac - p185 - tunisie - service de coopération et d'action culturelle scac - p185 - tunisie - service de coopération et d'action culturelle scac - p185 - archéologie - invitations - tunisie -"", 'bit tunisie ess bit tunisie ess bit tunisie ess']"
65,2961,65_music_theatre_culturelle_p185,Culturel Fest Music Thtr P185,"['music', 'theatre', 'culturelle', 'p185', 'spectacle', 'diffusion', 'musique', 'festival', 'vivant', 'musical']","['\nCulturel Fest Music Thtr P185', '', '', '', '', '', '', '', '', '']","['p185 - coopération et diffusion culturelle - spectacle vivant - concert léo warynski p185 - coopération et diffusion culturelle - spectacle vivant - concert léo warynski p185 - coopération et diffusion culturelle - spectacle vivant - concert léo warynski - concert donné à princess galyani vadhana institute of music', 'peace festival through music t peace festival through music ', 'festival of folk music ensembles and choruses  lepota razlicitosti festival of folk music ensembles and choruses  lepota razlicitosti contribution to a festival of folk music ensembles and choruses  lepota razlicitosti']"
66,2885,66_frame_agreement_ngo_suomen,Frame Agreements NGOs,"['frame', 'agreement', 'ngo', 'suomen', 'ry', 'fida', 'lähetysseura', 'finn', 'sask', 'abilis']","['\nFrame Agreements NGOs', '', '', '', '', '', '', '', '', '']","['frame agreement with ngo (abilis foundation) frame agreement with ngo (abilis foundation) information cost', 'frame agreement with ngo (pelastakaa lapset) frame agreement with ngo (pelastakaa lapset) b1 programme review & planning evaluation.', 'frame agreement with ngo (siemenpuu) frame agreement with ngo (siemenpuu) sigida nyetaa 2012-14']"
67,3127,67_trade_facilitation_wto_commerce,Trade Policies & Facilitation,"['trade', 'facilitation', 'wto', 'commerce', 'admin', 'policy', 'investment', 'agreements', 'negotiations', 'multilateral']","['\nTrade Policies & Facilitation', '', '', '', '', '', '', '', '', '']","[""trade related assistance to png trade facilitation trade policy advisor under the 9th edf project 'trade related assistance'"", '239mena negotiating trade 239mena negotiating trade ', '239wa negotiating trade 239wa negotiating trade ']"
68,6587,68_water_resources_eau_resource,Water Resources Policy/Admin. Mgmt.,"['water', 'resources', 'eau', 'resource', 'mgmt', 'management', 'iwrm', 'integrated', 'admin', 'gestion']","['\nWater Resources Policy/Admin. Mgmt.', '', '', '', '', '', '', '', '', '']","['ewwca water resources policy/admin. mgmt ', 'support to drfn water resources policy/admin. mgmt ', 'iwrm regional water fergana water resources policy/admin. mgmt iwrm regional water fergana']"
69,3632,69_administration_public_adm_reform,Public Sector Admin Policy,"['administration', 'public', 'adm', 'reform', 'government', 'administrative', 'sector', 'management', 'policy', 'publique']","['\nPublic Sector Admin Policy', '', '', '', '', '', '', '', '', '']","['tcf ii public sector policy and adm. management orã§amento programa conferãªncias, formaã§ã£o e seminã¡rios', 'metorology public sector policy and adm. management metorology', 'cne padrón biométrico public sector policy and adm. management ']"
70,2754,70_included_scientific_other_not,"Scientific coop (non-area), intl, edu res, dev cty","['included', 'scientific', 'other', 'not', 'areas', 'cooperation', 'countries', 'far', 'research', 'with']","['\nScientific coop (non-area), intl, edu res, dev cty', '', '', '', '', '', '', '', '', '']","['scientific cooperation with other countries (not included in other areas) scientific cooperation with other countries (not included in other areas) lc materials with high birefringence for optoelectronics and photonics - capacity building in the field of education and research', 'scientific cooperation with other countries (not included in other areas) scientific cooperation with other countries (not included in other areas) gast travelling conference  it security  - capacity building in the field of education and research', 'scientific cooperation with other countries (not included in other areas) scientific cooperation with other countries (not included in other areas) studies on dermal invasion of polymer nanocapsules and nanoencapsulated clobetasol from nanocapsules - capacity building in the field of education and research']"
71,5123,71_health_santé_care_soins,"Health workforce, Uganda, system strengthening","['health', 'santé', 'care', 'soins', 'uganda', 'salud', 'services', 'systems', 'tanzania', 'africa']","['\nHealth workforce, Uganda, system strengthening', '', '', '', '', '', '', '', '', '']","[""building the capacity of community health workers / développer les capacités des travailleurs en santé communautaire health education amref canada's project aims to improve access to health information and basic health services, particularly for child and maternal health, by training 1,320 community health workers in vulnerable and marginalized communities in tanzania, kenya, and uganda, and 800 traditional health practitioners in south africa. the community health workers help reduce the incidence of malaria, hiv/aids and other preventable health problems through the provision of community health education and services to children and mothers. five health clinics in tanzania are being rehabilitated. to promote effectiveness and sustainability, amref is documenting best practices for training community health workers, identify the most effective methods for improving the integration of these health workers into the government's health systems, and document lessons learned for strengthening health systems with community health workers. amref canada works with local ngo partners, government ministries (at the district level and national levels), community institutions and health experts in the field. amref canada also promotes canadian public engagement on maternal and child health through presentations, social networking activities, and media. / le projet d'amref canada vise à améliorer l'accès à l'information et aux services de santé de base, particulièrement en ce qui a trait à la santé des enfants et des mères, en formant 1 320 travailleurs de la santé communautaire dans les communautés marginalisées et vulnérables de la tanzanie, du kenya et de l'ouganda, en plus de 800 praticiens de la santé traditionnelle en afrique du sud. les travailleurs de la santé communautaire réduisent les incidences de paludisme, du vih/sida et autres problèmes de santé que l'on peut prévenir par l'entremise d'éducation et de services de santé aux enfants et aux mères. cinq cliniques de santé en tanzanie sont remises en état. afin de favoriser l'efficacité et la durabilité, amref documente les pratiques exemplaires pour la formation de travailleurs de la santé communautaire, identifie les méthodes les plus efficaces pour améliorer l'intégration de ces travailleurs de la santé dans les systèmes de santé du gouvernement, et documente les leçons retenues pour renforcer les systèmes de santé avec les travailleurs de la santé communautaire. amref canada travaille avec les ong partenaires locales, les ministères gouvernementaux (au niveau des districts et au niveau national), les institutions communautaires et les experts de la santé sur le terrain. amref canada favorise également l'engagement du public canadien en matière de santé des mères et des enfants par l'entremise de présentations, d'activités de réseautage social et des médias"", ""building the capacity of community health workers / développer les capacités des travailleurs en santé communautaire health personnel development amref canada's project aims to improve access to health information and basic health services, particularly for child and maternal health, by training 1,320 community health workers in vulnerable and marginalized communities in tanzania, kenya, and uganda, and 800 traditional health practitioners in south africa. the community health workers help reduce the incidence of malaria, hiv/aids and other preventable health problems through the provision of community health education and services to children and mothers. five health clinics in tanzania are being rehabilitated. to promote effectiveness and sustainability, amref is documenting best practices for training community health workers, identify the most effective methods for improving the integration of these health workers into the government's health systems, and document lessons learned for strengthening health systems with community health workers. amref canada works with local ngo partners, government ministries (at the district level and national levels), community institutions and health experts in the field. amref canada also promotes canadian public engagement on maternal and child health through presentations, social networking activities, and media. / le projet d'amref canada vise à améliorer l'accès à l'information et aux services de santé de base, particulièrement en ce qui a trait à la santé des enfants et des mères, en formant 1 320 travailleurs de la santé communautaire dans les communautés marginalisées et vulnérables de la tanzanie, du kenya et de l'ouganda, en plus de 800 praticiens de la santé traditionnelle en afrique du sud. les travailleurs de la santé communautaire réduisent les incidences de paludisme, du vih/sida et autres problèmes de santé que l'on peut prévenir par l'entremise d'éducation et de services de santé aux enfants et aux mères. cinq cliniques de santé en tanzanie sont remises en état. afin de favoriser l'efficacité et la durabilité, amref documente les pratiques exemplaires pour la formation de travailleurs de la santé communautaire, identifie les méthodes les plus efficaces pour améliorer l'intégration de ces travailleurs de la santé dans les systèmes de santé du gouvernement, et documente les leçons retenues pour renforcer les systèmes de santé avec les travailleurs de la santé communautaire. amref canada travaille avec les ong partenaires locales, les ministères gouvernementaux (au niveau des districts et au niveau national), les institutions communautaires et les experts de la santé sur le terrain. amref canada favorise également l'engagement du public canadien en matière de santé des mères et des enfants par l'entremise de présentations, d'activités de réseautage social et des médias"", ""building the capacity of community health workers / développer les capacités des travailleurs en santé communautaire health policy & admin. management amref canada's project aims to improve access to health information and basic health services, particularly for child and maternal health, by training 1,320 community health workers in vulnerable and marginalized communities in tanzania, kenya, and uganda, and 800 traditional health practitioners in south africa. the community health workers help reduce the incidence of malaria, hiv/aids and other preventable health problems through the provision of community health education and services to children and mothers. five health clinics in tanzania are being rehabilitated. to promote effectiveness and sustainability, amref is documenting best practices for training community health workers, identify the most effective methods for improving the integration of these health workers into the government's health systems, and document lessons learned for strengthening health systems with community health workers. amref canada works with local ngo partners, government ministries (at the district level and national levels), community institutions and health experts in the field. amref canada also promotes canadian public engagement on maternal and child health through presentations, social networking activities, and media. / le projet d'amref canada vise à améliorer l'accès à l'information et aux services de santé de base, particulièrement en ce qui a trait à la santé des enfants et des mères, en formant 1 320 travailleurs de la santé communautaire dans les communautés marginalisées et vulnérables de la tanzanie, du kenya et de l'ouganda, en plus de 800 praticiens de la santé traditionnelle en afrique du sud. les travailleurs de la santé communautaire réduisent les incidences de paludisme, du vih/sida et autres problèmes de santé que l'on peut prévenir par l'entremise d'éducation et de services de santé aux enfants et aux mères. cinq cliniques de santé en tanzanie sont remises en état. afin de favoriser l'efficacité et la durabilité, amref documente les pratiques exemplaires pour la formation de travailleurs de la santé communautaire, identifie les méthodes les plus efficaces pour améliorer l'intégration de ces travailleurs de la santé dans les systèmes de santé du gouvernement, et documente les leçons retenues pour renforcer les systèmes de santé avec les travailleurs de la santé communautaire. amref canada travaille avec les ong partenaires locales, les ministères gouvernementaux (au niveau des districts et au niveau national), les institutions communautaires et les experts de la santé sur le terrain. amref canada favorise également l'engagement du public canadien en matière de santé des mères et des enfants par l'entremise de présentations, d'activités de réseautage social et des médias""]"
72,5215,72_education_éducation_teachers_school,Teacher Ed Support Proj: Improving Basic Edu,"['education', 'éducation', 'teachers', 'school', 'teacher', 'primary', 'schools', 'secondary', 'uganda', 'quality']","['\nTeacher Ed Support Proj: Improving Basic Edu', '', '', '', '', '', '', '', '', '']","[""teacher education support project: towards more effective basic education/projet d'appui à la formation des enseignants : pour une éducation de base plus efficace teacher education support project: towards more effective basic education/projet d'appui à la formation des enseignants : pour une éducation de base p the teacher education support project (tesp) aims to improve girls' and boys' basic education, including reading, writing and mathematics skills, in tanzania's primary and secondary schools. it focuses on improving the quality and gender sensitivity of primary and secondary school teaching by investing in effective training for future teachers at 35 teacher's colleges. project activities include: (1) providing training to instructors and trainees on effective and gender sensitive teaching methods, (2) enhancing the ministry of education's capacity to manage teacher training nationally, and (3) providing teaching and learning materials to teacher's colleges, including information and communications technology equipment (ict), textbooks and learning resources.tesp seeks to help improve the qualifications of 3,000 college instructors, and train approximately 50,000 new teachers./le projet d'appui à la formation des enseignants (pafe) vise à améliorer la qualité de l'éducation de base des filles et des garçons, ce qui comprend l'amélioration des compétences en mathématiques, lecture et écriture, dans les écoles primaires et secondaires de la tanzanie. il met l'emphase sur l'amélioration de la qualité de l'enseignement primaire et secondaire, qui tient compte des sexospécificités, en investissant dans une formation efficace pour les futurs enseignants de 35 collèges d'enseignants. les activités du projet comprennent : 1) donner une formation aux instructeurs et aux futurs enseignants sur des méthodes d'enseignement efficaces et qui tiennent compte des sexospécificités, 2) renforcer la capacité du ministère de l'éducation de gérer la formation des enseignants à l'échelle nationale, 3) fournir du matériel d'enseignement et d'apprentissage aux collèges d'enseignement, incluant de l'équipement en technologies de l'information et des communications, des manuels scolaires et des ressources pédagogiques.le pafe vise à améliorer les qualifications de 3 000 instructeurs des collèges d'enseignement et former approximativement 50 000 futurs enseignants."", ""uganda country programme  - education - education standard agency - direct. educ. standards g uganda country programme  - education - education standard agency - direct. educ. standards g irish aid in uganda in 2009 will continue to assist the ministry of education and sports (moes) in implementing the education sector strategic plan (essp) which is seeing marked improvements in primary school enrolment and, more recently, the introduction of universal secondary education.  there are a number of challenges being addressed and these include low learning achievements in literacy and numeracy, high drop-out rates, teacher absenteeism, and limited budgetary resources. in supporting the essp, irish aid in uganda is playing a leading role in the education sector, focusing the policy dialogue on the quality of education, improved results, and the mainstreaming of gender, hiv/aids and governance in particular. in line with the use of a mixture of aid modalities, a number of projects are also being supported in 2009 and these relate to curriculum development, bursaries and adult literacy. the post-primary and education training (ppet) programme in karamoja - the most vulnerable region in uganda – continues in 2009. thirteen post-primary and training institutions are being rehabilitated along with the construction of administration blocks, teachers' houses, latrines, classrooms, dormitories libraries and laboratories"", ""uganda country programme  - education - northern uganda basaries - 3rd tranche-aei bursaries uganda country programme  - education - northern uganda basaries - 3rd tranche-aei bursaries irish aid in uganda in 2009 will continue to assist the ministry of education and sports (moes) in implementing the education sector strategic plan (essp) which is seeing marked improvements in primary school enrolment and, more recently, the introduction of universal secondary education.  there are a number of challenges being addressed and these include low learning achievements in literacy and numeracy, high drop-out rates, teacher absenteeism, and limited budgetary resources. in supporting the essp, irish aid in uganda is playing a leading role in the education sector, focusing the policy dialogue on the quality of education, improved results, and the mainstreaming of gender, hiv/aids and governance in particular. in line with the use of a mixture of aid modalities, a number of projects are also being supported in 2009 and these relate to curriculum development, bursaries and adult literacy. the post-primary and education training (ppet) programme in karamoja - the most vulnerable region in uganda – continues in 2009. thirteen post-primary and training institutions are being rehabilitated along with the construction of administration blocks, teachers' houses, latrines, classrooms, dormitories libraries and laboratories""]"
73,2699,73_trafficking_victims_persons_anti,"Human Trafficking Prevention, Victims Support, Combat & Countermeasures","['trafficking', 'victims', 'persons', 'anti', 'tip', 'smuggling', 'human', 'beings', 'slavery', 'iom']","['\nHuman Trafficking Prevention, Victims Support, Combat & Countermeasures', '', '', '', '', '', '', '', '', '']","['trafficking africa-eu trafficking africa-eu ', 'dzo / icmpd trafficking dzo / icmpd trafficking strengthening law enforcement capacities for fighting human trafficking', 'prevention of trafficking prevention of trafficking support to victims of trafficking']"
74,2964,74_livestock_cattle_breeding_animal,Livestock Production Development,"['livestock', 'cattle', 'breeding', 'animal', 'pig', 'goat', 'production', 'sheep', 'beef', 'élevage']","['\nLivestock Production Development', '', '', '', '', '', '', '', '', '']","['geitenteelt in azua livestock ', 'producciã“n pecuaria de novillas de engorde livestock ', 'ph92 offtake of livestock in n livestock ']"
75,2650,75_yemen_yémen_yemeni_humanitarian,Yemen humanitarian aid in conflict areas (10),"['yemen', 'yémen', 'yemeni', 'humanitarian', 'yemenis', 'governorates', 'wounded', 'affected', 'conflict', 'assistance']","['\nYemen humanitarian aid in conflict areas (10)', '', '', '', '', '', '', '', '', '']","['yemen national i.d. project yemen national i.d. project ', 'project in yemen project in yemen project in yemen', 'paf - yemen paf - yemen paf - yemen']"
76,4095,76_refugees_refugee_recip_réfugiés,Refugees aid,"['refugees', 'refugee', 'recip', 'réfugiés', 'asylum', 'migration', 'aid', 'unhcr', 'refugiados', 'seekers']","['\nRefugees aid Label: refugees_aid', '', '', '', '', '', '', '', '', '']","['influx comali refugees influx comali refugees ', 'trian jaya resettlem refugees trian jaya resettlem refugees ', 'ssd medair, refugees maban ssd medair, refugees maban ']"
77,2468,77_sport_sports_football_jeunesse,Sports Development & Partnerships,"['sport', 'sports', 'football', 'jeunesse', 'associative', 'soccer', 'conduite', 'vie', 'deporte', 'sanitaires']","['\nSports Development & Partnerships', '', '', '', '', '', '', '', '', '']","[""asian sports partnerships: connecting people and institutions, enhancing sport for development and supporting innovation and integrity in sport. asian sports partnerships: connecting people and institutions, enhancing sport for development and supporting innovation and integrity in sport. asian sports partnerships is a new opportunity for sports cooperation provided through the government's australian sports diplomacy strategy 2015-18.  the sports diplomacy strategy aims to:  connect people and institutions,  enhance sport for development,  showcase australian capability, and  support innovation and integrity in sport. the asp will provide a flexible and responsive mechanism to encourage sports collaboration between australian and foreign organisations, focusing on innovation, and building linkages between all elements of australia's development and sports programs in asia.   the asp provides a practical means to advance key priorities for the region including supporting emerging leaders, youth, women and girls.  it will look to provide funding to support new programs, expand national sporting organisations' geographic focus, trial new approaches, and develop new partnerships."", 'sport with refugees sport with refugees development and promotion of sports structures and sports relations', 'sports partnership program sports partnership program invite the underdeveloped countrys sport leaders and conduct the training session on koreas sport policy  ang support sport equipment  supporting training and sport equipment']"
78,2475,78_lcf_cooperation_fund_local,Local Coop Fund Admin Costs Nam-Bra-Sud,"['lcf', 'cooperation', 'fund', 'local', 'namibia', 'in', 'women', 'kenya', 'rights', 'is']","['\nLocal Coop Fund Admin Costs Nam-Bra-Sud', '', '', '', '', '', '', '', '', '']","['local cooperation fund (lcf) in sudan local cooperation fund (lcf) in sudan administrative costs', 'local cooperation fund (lcf) in namibia local cooperation fund (lcf) in namibia lcf administrative costs.', 'local cooperation fund (lcf) in brazil local cooperation fund (lcf) in brazil administrative costs of local cooperation fund 2009.']"
79,2506,79_debt_dette_interest_loans,Debt forgiveness,"['debt', 'dette', 'interest', 'loans', 'principal', 'forgiveness', 'hipc', 'relief', 'club', 'allegement']","['\nDebt forgiveness', '', '', '', '', '', '', '', '', '']","['debt forgiveness debt forgiveness debt forgiveness', ' debt-forgiveness ', 'debt forgiveness debt forgiveness debt relief']"
80,2959,80_haiti_haïti_haitian_haití,Haiti dev & police reinforcement,"['haiti', 'haïti', 'haitian', 'haití', 'et', 'le', 'des', 'haïtien', 'les', 'projet']","['\nHaiti dev & police reinforcement', '', '', '', '', '', '', '', '', '']","['envoi de coopérants juniors - haiti envoi de coopérants juniors - haiti envoi de coopérants juniors - haiti', 'haiti (binuh) (n1104)* haiti (binuh) (n1104)* haiti (binuh) (n1104)*', 'coopérants coopérants coopérants haiti']"
81,2555,81_police_crime_policing_forensic,Police Training & Crime Investigation,"['police', 'crime', 'policing', 'forensic', 'organised', 'investigation', 'criminal', 'nationale', 'training', 'reform']","['\nPolice Training & Crime Investigation', '', '', '', '', '', '', '', '', '']","['police training police training from police', ' police communicat. e ', 'maintanence of police vechiles maintanence of police vechiles maintanence of police vechiles']"
82,2844,82_indigenous_peoples_indígenas_pueblos,Indigenous Rights Development,"['indigenous', 'peoples', 'indígenas', 'pueblos', 'rights', 'indígena', 'derechos', 'people', 'los', 'land']","['\nIndigenous Rights Development', '', '', '', '', '', '', '', '', '']","[' indigenous peoples development project ', 'indigenous peoples: human rights indigenous peoples: human rights ', ' indigenous peoples support ']"
83,2670,83_dispatch_practical_volunteers_transferring,Volunteer skill transfers: practical teachings,"['dispatch', 'practical', 'volunteers', 'transferring', 'theoretical', 'theories', 'hands', 'applications', 'teaching', 'expert']","['\nVolunteer skill transfers: practical teachings', '', '', '', '', '', '', '', '', '']","['dispatch of volunteers dispatch of volunteers teaching mathematical theories and their practical applications and providing hands-on training in the areas of maths', 'dispatch of volunteers dispatch of volunteers teaching theories of swimming and their practical applications and providing hands-on training on swim strokes', 'dispatch of volunteers dispatch of volunteers teaching beauty-related theories and their practical applications and providing hands-on training for hair, scalp, nail and skincare']"
84,2398,84_verification_expenditure_vérification_dépenses,Expenditure Verif. (PE),"['verification', 'expenditure', 'vérification', 'dépenses', 'pe', 'fed', 'estimate', 'devis', 'dp', 'audit']","['\nExpenditure Verif. (PE)', '', '', '', '', '', '', '', '', '']","['expenditure verification nao pe6 expenditure verification nao pe6 expenditure verification nao pe6', 'kpmg - expenditure verification of pe2/pe3 kpmg - expenditure verification of pe2/pe3 kpmg - expenditure verification of pe2/pe3', 'kpmg- expenditure verification pe2/pe3/pe4 kpmg- expenditure verification pe2/pe3/pe4 kpmg- expenditure verification pe2/pe3/pe4']"
85,3027,85_diseases_infectious_tropical_disease,Infectious Disease Control - Communicable Tropical Diseases,"['diseases', 'infectious', 'tropical', 'disease', 'communicable', 'neglected', 'control', 'maladies', 'noncommunicable', 'ac']","['\nInfectious Disease Control - Communicable Tropical Diseases', '', '', '', '', '', '', '', '', '']","['cvcaegyptcommunicable diseases cvca: egyptcommunicable diseases infectious disease control', 'cvcamauritaniacommunicable diseases cvca: mauritaniacommunicable diseases infectious disease control', 'cvcacomoroscommunicable diseases cvca: comoroscommunicable diseases infectious disease control']"
86,5027,86_agricultural_agriculture_farmers_agricole,Agricultural productivity for smallholder farmers in Africa,"['agricultural', 'agriculture', 'farmers', 'agricole', 'smallholder', 'productivity', 'production', 'africa', 'agricoles', 'et']","['\nAgricultural productivity for smallholder farmers in Africa', '', '', '', '', '', '', '', '', '']","['enabling rural innovation in eastern africa , uganda enabling rural innovation in eastern africa , uganda the overall objective is to contribute to improved livelihoods of smallholder farmers in east africa through advocacy for market-based climate-smart agriculture. the specific objective of the intervention is to empower 6,625 farmers and their  organisations through the eri approach to successfully practice market-based climate-smart agriculture in order to achieve income and food security. the enabling rural innovation (eri) approach is implemented by four local project partners in  tanzania and uganda through farmer groups in their catchment areas.265 farmer groups from previous project phases continue to receive support and mentoring. a group comprises an average of 25 individual farmers. the programme reaches 6,625  households directly, benefiting 46,375 more household members indirectly.agriculture is the livelihood of 65% of the tanzanian population and 69% of the ugandan population, which is mainly composed of smallholder farmers. the agricultural  sector accounts for 25% of gdp in tanzania and 23% in uganda, although this share is steadily declining and the slow growth of the agricultural sector is reflected in poverty and food supply problems for the rural population. rural challenges  include insufficient productivity and market orientation of agricultural production, lack of sustainable natural resource management, and weak organisation and networking among farmers. the enabling rural innovation (eri) approach addresses  these challenges with a holistic approach that promotes an entrepreneurial culture and is both learning-intensive and participatory. the third phase of the project builds on the experience and lessons learnt from the previous phases, where  eri has proven to be an appropriate approach to the needs of the region, successfully increasing the production and productivity of smallholder farmers.', 'improving productivity and market success of ethiopian farmers / amélioration de la productivité et du succès sur le marché des agriculteurs éthiopien improving productivity and market success of ethiopian farmers / amélioration de la productivité et du succès sur le marché des agriculteurs éthiopien the project aims to increase agricultural productivity and improved livelihoods for people in rural areas by building capacity for market-oriented agricultural production. the project assists farmers, community organizations, and public institutions to develop innovative methods to produce high value crops, such as honey, beans, and teff, and livestock such as sheep and goats. the project focuses on building connections between smallholder farmers in order to increase their negotiating power, access to processing facilities, and access to market information, thereby increasing their potential to earn a higher income. the project also works to improve the quality of farm products, their storage, and processing in order to ensure a higher price at market. linking farmer groups and small-scale local traders with larger wholesale, processing, and export marketing groups are also part of the strategy. the project also works with the ethiopian ministry of agriculture and rural development and agricultural technical and vocational training centers to develop training opportunities for market-oriented farming. / le projet vise à accroître la productivité agricole et à améliorer les moyens de subsistance pour les gens des régions rurales en renforçant la capacité de production agricole axée sur le marché. le projet permet d aider les agriculteurs, les organisations communautaires et les institutions publiques à mettre au point des méthodes novatrices pour produire des récoltes de grande valeur, telles que la culture du miel, des fèves et du teff, ainsi que l élevage d animaux, notamment les moutons et les chèvres. le projet est axé sur l établissement de liens entre les petits exploitants agricoles en vue d accroître leur pouvoir de négociation, leur accès aux installations de transformation et leur accès aux renseignements sur le marché, améliorant ainsi leurs chances d augmenter leurs revenus. il veille également à améliorer la qualité des produits agricoles, de leur entreposage et de leur transformation en vue d assurer un prix plus élevé sur le marché. la stratégie permet également aux groupes d agriculteurs et aux petits commerçants locaux d établir des liens avec des intervenants des secteurs du gros, de la transformation et du marketing de l exportation de plus grande envergure. il collabore avec le ministère de l agriculture et du développement rural éthiopien ainsi qu avec les centres de formation professionnelle, technique et agricole en vue de créer des possibilités de formation sur l agriculture axée sur le marché.', ""association for strengthening agricultural research in eastern and central africa / association pour renforcer la recherche agricole en afrique orientale et centrale agricultural research this project supports the comprehensive africa agriculture development programme (caadp) goal of achieving 6% growth per year in the agricultural sector africa-wide by 2015. the project aims to contribute to strengthening agricultural research in africa and to assist farmers in adopting new farming techniques and improved crop varieties. the project also provides training to policy makers, research managers and researchers on integrated agricultural research for development approaches. tools and methodologies are being developed and promoted for the adoption and application of new agricultural technologies by up to 10 million farmer households in 10 countries.   it is estimated that in africa approximately 80% of people depend directly or indirectly on the agricultural sector. the association for strengthening agricultural research in eastern and central africa (asareca) is one of four sub-regional partners of the forum for agricultural research (fara). it is responsible for managing activities in eastern and central africa related to the agricultural research, technology dissemination and adoption component of caadp.   results as of march 2010 include : through asareca's programs and projects, the agricultural performance of many countries throughout eastern and central africa has significantly improved. one recent project of importance headed by asareca is the dissemination of new agricultural technologies in africa (donata). this project promotes new proven and emerging agricultural technologies, such as the quality protein maize seed. due to the success of these technologies, demand has increased tremendously in all four countries involved (dr congo, kenya, tanzania and uganda). the project has also stimulated demand from other countries like sudan and ethiopia who have expressed interest in the technologies. asareca is therefore now exploring ways to upscale to meet these demands. / ce projet contribue à la réalisation de l'objectif du programme intégré pour le développement de l'agriculture africaine (pidaa), soit une croissance annuelle de 6 p. 100 du secteur agricole à l'échelle de l'afrique d'ici 2015. le projet a pour but de favoriser le renforcement de la recherche agricole en afrique et d'aider les agriculteurs à adopter les nouvelles techniques culturales et des variétés améliorées. il permet également d'offrir une formation aux décideurs, gestionnaires de recherche et chercheurs sur les approches de la recherche agricole intégrée pour le développement ainsi que de mettre au point et de promouvoir des outils et des méthodologies concernant l'adoption et l'application des nouvelles technologies agricoles par plus de dix millions d'agriculteurs dans dix pays.   on estime que 80 p. 100 des africains sont directement ou indirectement tributaires du secteur agricole. l'association pour le renforcement de la recherche agricole en afrique orientale et centrale (asareca) est l'un des quatre partenaires infra-régionaux du forum pour la recherche agricole en afrique. elle gère les activités du volet du pidaa lié à la recherche agricole et à la diffusion et l'adoption de la technologie du pidaa en afrique orientale et centrale.   parmi les résultats obtenus en date de mars 2010: grâce aux programmes et aux projets de l'association pour le développement de l'agriculture en afrique centrale et orientale (asareca), le rendement agricole de nombreux pays d'afrique centrale et orientale a été amélioré. un récent projet d'envergure mené par asareca est l'initiative de diffusion de nouvelles techniques agricoles en afrique. ce projet favorise l'utilisation de nouvelles techniques éprouvées et émergentes, telles que les semences de maïs à haute teneur protéique. grâce au succès remporté par ces techniques, la demande de nouvelles semences a fortement augmenté dans les quatre pays participants (république démocratique du congo, kenya, tanzanie et ouganda). cette initiative a également stimulé la demande d'autres pays tels que le soud""]"
87,6181,87_narcotics_enforcement_inl_law,INTL Law Enf Eqp & Supplies (DOSTATE),"['narcotics', 'enforcement', 'inl', 'law', 'affairs', 'bureau', 'covers', 'international', 'department', 'equipment']","['\nINTL Law Enf Eqp & Supplies (DOSTATE)', '', '', '', '', '', '', '', '', '']","['bureau of international narcotics and law enforcement affairs - inl carsi fen elbow and kneepads bureau of international narcotics and law enforcement affairs - inl carsi fen elbow and kneepads u.s. department of state: bureau of international narcotics and law enforcement affairs. [covers the cost of supply items not otherwise classified. includes petty cash purchases as distinguished from specific purpose vouchers.]', 'bureau of international narcotics and law enforcement affairs - inl carsi cpp umep2 posta losusa chamelecon refurb bureau of international narcotics and law enforcement affairs - inl carsi cpp umep2 posta losusa chamelecon refurb u.s. department of state: bureau of international narcotics and law enforcement affairs. [covers the costs of repair items including lumber, hardware, masonry, plaster, roofing, window glass, fabricated metal, tiles, paints, decorator supplies, etc.]', 'bureau of international narcotics and law enforcement affairs - inl carsi fm sand and gravel morgue la ceiba bureau of international narcotics and law enforcement affairs - inl carsi fm sand and gravel morgue la ceiba u.s. department of state: bureau of international narcotics and law enforcement affairs. [covers the costs of repair items including lumber, hardware, masonry, plaster, roofing, window glass, fabricated metal, tiles, paints, decorator supplies, etc.]']"
